Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1994;104.85;null;null;1994;209.34;2007;179.75;1999;38.94;1999;92.42;1999;181.45;2009;2.08;2005;14.92;2002;19.83;2010;409.89;null;null;2003;61.38;2017;2.30;null;null;1999;531.01;2007;448.66;null;null;1993;4.34;1999;53.82;2017;56.00;2008;811.68;null;null;2004;33.44;1999;115.27;
1995;107.58;null;null;1995;217.81;2008;208.44;2000;37.64;2000;97.80;2000;183.89;2011;1.60;2007;9.14;2003;34.31;2011;468.76;null;null;2004;3.12;2018;2.16;null;null;2000;555.36;2008;593.23;null;null;1994;7.97;2000;53.61;null;null;2009;893.10;null;null;2005;35.62;2000;122.42;
1996;104.86;null;null;1996;209.83;2009;226.96;2001;36.80;2001;101.74;2001;213.15;2013;0.89;2008;21.02;2004;26.34;2012;404.97;null;null;2005;4.52;2019;2.71;null;null;2001;565.34;2009;669.46;null;null;1995;28.31;2001;36.15;null;null;2010;542.16;null;null;2006;118.68;2001;137.43;
1997;116.90;null;null;1997;224.64;2010;190.40;2002;30.62;2002;84.52;2002;155.85;2014;0.76;2009;15.24;2005;20.20;2013;380.58;null;null;2008;17.00;null;null;null;null;2002;441.76;2010;500.24;null;null;1996;35.51;2002;52.03;null;null;2011;575.97;null;null;2008;122.49;2002;102.42;
1998;98.81;null;null;1998;185.01;2011;219.58;2003;36.69;2003;90.68;2003;213.78;2017;1.29;2011;13.32;2006;32.39;2014;338.36;null;null;2009;5.86;null;null;null;null;2003;607.87;2011;451.10;null;null;1997;9.98;2003;124.55;null;null;2012;435.26;null;null;2009;171.59;2003;159.98;
1999;110.27;null;null;1999;215.73;2012;200.90;2004;33.44;2004;91.90;2004;181.35;null;null;2012;7.85;2007;17.21;2015;330.67;null;null;2010;5.70;null;null;null;null;2004;460.80;2012;430.99;null;null;1998;3.13;2004;29.53;null;null;2013;453.85;null;null;2011;85.72;2004;56.61;
2000;111.39;null;null;2000;223.93;2013;201.63;2005;32.78;2005;98.91;2005;178.15;null;null;2013;7.97;2008;34.33;2016;286.42;null;null;2011;2.57;null;null;null;null;2005;464.72;2013;422.90;null;null;1999;12.03;2005;22.23;null;null;2014;415.29;null;null;2012;15.27;2005;52.24;
2001;116.54;null;null;2001;226.59;2014;183.88;2006;32.98;2006;104.29;2006;219.41;null;null;2014;6.78;2009;19.01;2017;320.37;null;null;2012;1.60;null;null;null;null;2006;573.88;2014;363.66;null;null;2000;15.96;2006;66.83;null;null;2015;414.76;null;null;2013;36.36;2006;148.71;
2002;104.77;null;null;2002;193.04;2015;181.14;2007;28.72;2007;89.44;2007;158.67;null;null;null;null;2010;19.63;2018;381.03;null;null;2013;2.15;null;null;null;null;2007;408.54;2015;351.74;null;null;2001;9.52;2007;42.22;null;null;2016;370.11;null;null;2014;36.62;2007;117.25;
2003;97.19;null;null;2003;189.63;2016;148.10;2008;33.21;2008;97.72;2008;202.01;null;null;null;null;2011;18.76;2019;323.66;null;null;null;null;null;null;null;null;2008;554.88;2016;321.19;null;null;2002;18.49;2008;106.82;null;null;2017;463.50;null;null;2015;25.93;2008;203.90;
