Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1983;219.04;2012;598.75;1983;429.41;1995;475.11;1988;80.14;1988;173.17;1988;544.75;1996;41.91;1993;105.96;1990;78.57;1998;702.10;1988;52.69;1999;50.43;2010;349.37;1988;2032.13;1996;4359.40;1981;76.14;1988;2073.29;2004;671.09;1997;1090.67;2010;468.42;1992;254.93;1988;1854.61;
1984;417.17;2013;651.18;1984;728.04;1996;894.19;1989;100.05;1989;277.06;1989;798.62;1997;18.19;1994;65.68;1991;427.59;1999;1483.35;1991;230.67;2000;14.86;2011;131.08;1989;1920.80;1997;962.12;1982;32.69;1989;1147.52;2005;1470.72;1998;1843.79;2011;69.89;1994;1285.51;1989;988.52;
1985;566.82;2014;491.67;1985;1005.24;1997;400.70;1990;65.36;1990;342.91;1990;700.18;1998;22.16;1995;84.46;1992;126.19;2000;704.97;1993;154.10;2001;101.55;2012;106.38;1990;1605.63;1998;1256.26;1984;1515.73;1990;1710.15;2006;1098.60;1999;2530.12;2012;150.61;1995;996.11;1990;1230.14;
1986;412.18;2015;715.46;1986;602.63;1998;578.02;1991;115.80;1991;295.50;1991;756.10;1999;24.30;1996;205.70;1993;151.26;2001;1929.95;1995;174.09;2003;155.43;2014;304.58;1991;2171.53;1999;2440.18;1985;1150.85;1991;827.82;2007;3161.91;2000;1607.87;2013;182.36;1996;798.30;1991;580.84;
1987;351.08;2016;516.66;1987;579.74;1999;640.07;1992;56.51;1992;159.55;1992;389.00;2000;16.04;1997;56.93;1994;190.43;2002;976.55;1996;512.51;2004;39.67;2016;133.56;1992;1168.25;2000;1104.46;1986;250.91;1992;286.30;2008;3040.49;2001;2574.94;2014;64.95;1998;992.92;1992;260.84;
1988;422.19;2017;604.29;1988;528.81;2000;817.96;1993;54.92;1993;234.33;1993;552.14;2001;30.45;1998;57.47;1995;174.48;2003;1941.74;1997;59.58;2006;44.26;2017;288.58;1993;1569.99;2001;2760.96;1987;779.99;1993;692.12;2009;1054.07;2002;2227.40;2016;228.44;1999;1050.87;1993;820.21;
1989;447.65;2018;540.63;1989;778.67;2001;1196.10;1994;64.36;1994;229.48;1994;506.55;2002;11.39;1999;91.33;1996;534.17;2004;1274.39;1998;133.84;2010;30.46;2018;442.95;1994;2238.73;2002;1429.95;1988;1020.38;1994;1765.17;2010;1508.45;2003;4182.44;2017;642.69;2000;828.32;1994;1908.04;
1990;347.98;null;null;1990;766.70;2002;444.89;1995;64.02;1995;160.44;1995;460.81;2003;28.85;2000;65.35;1997;158.49;2005;1759.99;2000;103.11;2011;3.58;null;null;1995;1059.97;2003;4580.21;1989;143.91;1995;1870.19;2011;331.94;2004;1975.38;2018;679.71;2001;977.00;1995;1477.20;
1991;587.80;null;null;1991;863.26;2003;809.81;1996;87.25;1996;289.32;1996;927.10;2004;28.46;2001;124.85;1998;162.17;2006;1483.35;2001;296.10;2012;11.02;null;null;1996;2171.53;2004;1958.78;1990;336.78;1996;1851.22;2012;311.21;2005;2665.76;null;null;2002;739.31;1996;898.70;
1992;247.96;null;null;1992;448.46;2004;833.46;1997;53.66;1997;130.47;1997;241.42;2005;25.77;2002;67.69;1999;294.26;2007;1458.40;2002;143.34;2013;12.26;null;null;1997;910.78;2005;2966.25;1991;25.95;1997;269.61;2013;520.32;2006;2303.40;null;null;2003;883.19;1997;468.47;
1993;316.08;null;null;1993;548.52;2005;480.37;1998;81.40;1998;210.61;1998;499.40;2006;30.45;2003;118.51;2000;115.64;2008;1855.62;2003;1183.22;2017;35.86;null;null;1998;1125.00;2006;2403.44;1992;48.47;1998;732.03;2015;1048.55;2007;4079.81;null;null;2004;650.67;1998;1291.67;
1994;323.56;null;null;1994;509.21;2006;830.06;1999;86.15;1999;261.11;1999;671.86;2007;30.45;2004;71.89;2001;269.93;2009;1045.74;2004;69.38;2018;49.46;null;null;1999;2171.53;2007;4305.33;1993;250.91;1999;1454.85;2017;1658.39;2008;4379.78;null;null;2005;961.17;1999;1490.38;
1995;299.87;null;null;1995;492.52;2007;560.97;2000;54.29;2000;307.96;2000;839.86;2013;8.70;2006;76.47;2002;236.78;2010;1295.41;2007;678.36;null;null;null;null;2000;948.34;2008;4041.64;1994;282.92;2000;525.36;null;null;2009;1523.63;null;null;2006;603.57;2000;1332.34;
1996;522.16;null;null;1996;869.36;2008;793.13;2001;120.49;2001;412.26;2001;1216.59;null;null;2007;111.75;2003;297.37;2011;766.73;2008;140.51;null;null;null;null;2001;2255.69;2009;1526.97;1995;761.26;2001;1082.89;null;null;2010;1760.75;null;null;2008;1658.10;2001;1119.68;
1997;233.44;null;null;1997;384.11;2009;373.46;2002;70.12;2002;199.12;2002;739.35;null;null;2008;73.24;2004;214.97;2012;1569.16;2009;66.79;null;null;null;null;2002;1312.20;2010;1600.22;1996;366.67;2002;1071.72;null;null;2011;961.51;null;null;2010;1005.71;2002;1013.64;
1998;354.28;null;null;1998;548.13;2010;608.67;2003;106.77;2003;398.79;2003;1106.81;null;null;2009;35.88;2005;236.10;2013;661.45;2010;84.91;null;null;null;null;2003;2832.20;2011;797.09;1997;69.53;2003;3064.43;null;null;2012;1650.84;null;null;2011;230.10;2003;1566.90;
1999;358.89;null;null;1999;633.58;2011;416.79;2004;79.60;2004;335.41;2004;886.41;null;null;2011;40.28;2006;97.63;2014;597.70;2011;54.95;null;null;null;null;2004;1534.75;2012;1823.73;1998;145.63;2004;642.79;null;null;2013;1148.42;null;null;2012;474.08;2004;866.94;
