Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1984;74.67;2013;116.87;1984;143.50;1997;151.09;1989;28.02;1989;61.73;1989;103.44;1998;0.02;1995;0.74;1992;1.77;2000;297.42;2014;0.00;1989;0.07;2000;0.00;2009;0.45;1989;270.65;1997;353.32;2016;0.00;1982;0.00;1989;6.37;2005;1.12;1998;255.58;2009;0.00;1992;0.00;1989;1.95;
1985;75.06;2014;111.51;1985;152.89;1998;127.01;1990;27.12;1990;62.14;1990;99.82;1999;0.02;1996;1.70;1993;1.23;2001;300.82;2016;0.00;1991;0.00;2001;0.00;2010;0.12;1990;254.67;1998;296.52;2017;0.00;1984;0.00;1990;2.66;2006;1.80;1999;302.88;2010;0.00;1994;0.00;1990;0.00;
1986;80.22;2015;101.06;1986;163.60;1999;126.81;1991;24.76;1991;60.52;1991;94.60;2000;0.01;1997;5.40;1994;1.44;2002;286.58;2017;0.06;1993;0.00;2003;0.00;2011;0.29;1991;291.85;1999;315.05;2018;0.00;1985;1.30;1991;2.22;2007;1.10;2000;294.52;2011;0.00;1995;0.00;1991;0.00;
1987;70.13;2016;98.91;1987;149.35;2000;142.60;1992;24.31;1992;53.86;1992;86.10;2001;0.07;1998;0.68;1995;1.85;2003;289.47;2018;0.00;1995;1.04;2004;0.00;2012;0.03;1992;283.31;2000;277.21;2019;0.00;1986;0.89;1992;1.83;2008;4.73;2001;302.83;2012;0.00;1996;0.00;1992;0.00;
1988;68.50;2017;91.90;1988;143.67;2001;136.78;1993;23.41;1993;52.82;1993;83.71;2002;0.11;1999;0.70;1996;3.76;2004;290.52;2019;0.00;1996;1.15;2005;0.00;2014;0.00;1993;302.16;2001;312.05;null;null;1987;0.00;1993;1.31;2009;6.04;2002;318.48;2013;0.00;1998;0.00;1993;0.00;
1989;67.42;2018;94.55;1989;145.31;2002;131.25;1994;22.87;1994;55.20;1994;84.66;2003;0.13;2000;2.25;1997;5.44;2005;281.08;null;null;1997;0.52;2010;0.00;2016;0.00;1994;282.00;2002;302.87;null;null;1988;0.14;1994;1.60;2010;5.31;2003;339.58;2014;0.00;1999;0.00;1994;0.00;
1990;71.04;2019;91.13;1990;154.58;2003;125.21;1995;23.65;1995;61.94;1995;91.78;2004;0.05;2001;1.65;1998;0.67;2006;268.74;null;null;1998;0.05;2011;0.00;2017;0.00;1995;295.78;2003;302.50;null;null;1989;0.48;1995;1.60;2011;1.70;2004;328.58;2016;0.00;2000;0.00;1995;0.80;
1991;65.62;null;null;1991;139.37;2004;131.65;1996;22.15;1996;55.39;1996;88.51;2005;0.04;2002;1.49;1999;1.66;2007;253.70;null;null;2000;0.04;2012;0.00;2018;0.00;1996;283.25;2004;308.17;null;null;1990;0.00;1996;2.14;2012;1.15;2005;295.52;2017;0.00;2001;0.00;1996;3.09;
1992;72.18;null;null;1992;137.95;2005;134.10;1997;25.76;1997;61.53;1997;94.60;2006;0.15;2003;1.48;2000;2.36;2008;274.22;null;null;2001;0.00;2013;0.00;2019;0.00;1997;309.27;2005;279.35;null;null;1991;0.00;1997;1.00;2013;0.55;2006;348.98;2018;0.00;2002;0.00;1997;3.33;
1993;68.23;null;null;1993;128.08;2006;136.77;1998;22.65;1998;55.91;1998;73.70;2007;0.06;2004;1.57;2001;1.69;2009;323.58;null;null;2002;0.02;2014;0.00;null;null;1998;263.39;2006;304.30;null;null;1992;0.00;1998;0.81;2014;0.58;2007;306.19;2019;0.00;2003;0.00;1998;1.02;
1994;68.05;null;null;1994;127.57;2007;125.01;1999;23.19;1999;50.45;1999;75.35;2009;0.09;2005;1.71;2002;1.68;2010;284.25;null;null;2003;0.14;2017;0.00;null;null;1999;295.95;2007;271.15;null;null;1993;0.00;1999;0.72;2017;0.00;2008;340.67;null;null;2004;0.00;1999;3.00;
1995;68.23;null;null;1995;128.93;2008;124.02;2000;25.48;2000;60.77;2000;91.45;2011;0.00;2007;0.99;2003;1.09;2011;278.97;null;null;2004;0.43;2018;0.00;null;null;2000;286.84;2008;281.57;null;null;1994;0.00;2000;0.67;null;null;2009;347.22;null;null;2005;0.00;2000;2.19;
1996;65.37;null;null;1996;126.73;2009;141.76;2001;24.24;2001;57.59;2001;86.58;2013;0.00;2008;1.51;2004;2.28;2012;268.67;null;null;2005;0.50;2019;0.00;null;null;2001;312.00;2009;297.33;null;null;1995;0.01;2001;0.81;null;null;2010;258.70;null;null;2006;0.00;2001;1.40;
1997;73.04;null;null;1997;140.08;2010;119.87;2002;22.19;2002;55.39;2002;89.98;2014;0.00;2009;2.30;2005;1.96;2013;241.13;null;null;2008;0.11;null;null;null;null;2002;283.90;2010;276.60;null;null;1996;0.01;2002;0.36;null;null;2011;277.98;null;null;2008;0.00;2002;1.20;
